問卷編號,"性別(男:0, 女:1)",出生年,年齡,CIAS_1,CIAS_2,CIAS_3,CIAS_4,CIAS_5,CIAS_6,CIAS_7,CIAS_8,CIAS_9,CIAS_10,CIAS_11,CIAS_12,CIAS_13,CIAS_14,CIAS_15,CIAS_16,CIAS_17,CIAS_18,CIAS_19,CIAS_20,CIAS_21,CIAS_22,CIAS_23,CIAS_24,CIAS_25,CIAS_26
1,0,87,12,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,3,1,1,1,2,1
2,0,86,13,3,2,2,2,2,3,3,1,3,2,2,3,2,2,3,2,3,3,2,2,3,3,2,2,2,1
3,0,86,13,4,1,4,3,4,4,2,3,,2,2,1,1,2,1,1,1,4,4,4,1,2,2,3,2,4
4,0,86,13,3,2,2,3,1,2,2,1,2,,1,1,1,1,2,1,1,2,,1,1,1,1,1,2,1
5,1,87,12,3,2,3,2,2,3,2,1,2,1,2,1,2,1,2,2,2,2,1,2,3,3,2,2,2,2
6,1,87,12,3,2,3,2,1,2,1,1,2,1,1,1,1,1,2,3,2,2,2,2,3,1,1,2,2,1
7,0,87,12,3,2,2,2,3,3,2,1,2,2,1,3,4,2,1,2,3,3,3,2,4,2,1,2,3,2
8,0,87,12,3,2,2,1,1,4,1,1,1,1,2,4,3,3,3,2,4,3,2,1,4,2,1,2,1,1
9,1,87,12,3,2,3,1,2,3,2,1,2,2,2,2,3,2,3,2,1,3,1,1,3,3,2,2,1,1
10,1,87,12,3,3,3,2,1,3,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,3,1,1,1,1
11,0,87,12,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,3,2,2,2,2,1,1,1,1,2,1
12,0,86,13,3,1,3,2,2,3,2,1,2,2,2,2,2,1,3,2,3,3,2,2,2,2,1,2,1,2
13,1,87,12,1,1,1,1,1,2,3,1,1,1,1,3,1,1,1,1,3,3,1,2,1,1,1,1,1,1
14,1,87,12,3,3,2,1,4,1,1,1,1,1,1,1,3,1,1,2,1,3,1,2,1,2,1,1,1,1
15,1,87,12,3,2,3,1,2,3,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1
16,1,87,12,4,4,4,4,4,4,2,4,4,4,1,2,1,4,1,4,1,1,4,4,1,4,1,1,3,1
17,0,87,12,1,4,4,4,4,3,2,1,2,4,4,3,2,1,2,4,4,4,2,4,3,3,3,4,2,2
18,0,87,12,3,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1
19,0,87,12,3,1,2,1,4,1,2,1,3,1,1,2,3,1,4,1,4,3,1,2,3,4,1,3,1,1
20,1,86,13,3,3,3,3,3,4,3,2,4,2,2,2,2,3,2,4,2,3,4,4,3,3,2,3,1,1
21,0,87,12,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2
22,1,87,12,3,1,1,1,4,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,2,1,1,1,1,1
23,0,87,12,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1
24,0,86,13,3,3,4,2,1,3,2,2,3,3,2,2,3,2,3,3,2,2,2,1,1,3,2,3,2,2
25,1,86,13,3,2,3,2,2,3,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2
26,1,87,12,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,2
27,1,87,12,3,3,2,2,1,3,2,1,2,2,2,1,3,1,2,2,1,2,3,3,3,2,1,1,2,2
28,0,87,12,3,,3,2,2,2,3,2,2,2,2,3,1,2,4,3,2,4,2,1,3,3,1,2,2,1
29,1,87,12,4,2,3,1,1,3,2,1,3,1,1,1,,1,2,1,1,1,1,1,1,2,2,2,1,1
30,1,87,12,3,1,3,1,1,3,2,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,1,1,3,1
31,0,86,13,3,2,1,1,2,3,1,4,1,1,1,2,3,1,4,1,1,1,1,1,4,4,1,1,1,1
32,0,86,13,4,3,2,4,4,4,1,1,3,2,1,1,2,3,4,2,2,2,2,3,3,4,2,3,4,2
32,0,87,12,3,2,4,4,2,4,3,,2,3,4,2,3,4,2,4,3,2,3,3,4,3,,3,2,4
34,0,87,12,3,1,3,1,1,1,3,,3,1,2,2,2,2,1,1,3,1,1,1,1,3,1,1,1,1
35,1,87,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,86,13,3,1,3,3,,4,1,3,3,2,1,2,3,2,2,3,2,1,4,2,4,2,2,2,3,3
37,0,86,13,1,3,2,1,2,2,3,1,2,1,2,1,3,3,1,1,3,1,4,4,2,1,1,2,4,1
38,0,86,13,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,,2,1,,3,1,3,
39,1,87,12,3,2,3,3,2,3,3,1,2,1,2,1,3,2,3,3,3,3,3,2,3,3,1,2,2,2
40,0,87,12,3,4,3,1,3,2,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,2,2,2,2
41,0,88,11,2,3,4,3,4,4,3,1,3,3,3,1,2,2,3,3,2,3,2,3,2,4,1,2,1,4
42,0,86,13,3,3,2,2,1,3,3,1,2,3,2,2,3,1,3,3,3,2,1,2,1,2,2,3,2,2
43,1,86,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
44,0,87,12,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
45,1,87,12,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,3,3,2,2,2,2
47,1,87,12,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
