問卷編號,"性別(男:0, 女:1)",出生年,年齡,"CIAS_1(CIAS編碼 1: 非常不同意, 2: 不同意, 3: 同意, 4: 非常同意)",CIAS_2,CIAS_3,CIAS_4,CIAS_5,CIAS_6,CIAS_7,CIAS_8,CIAS_9,CIAS_10,CIAS_11,CIAS_12,CIAS_13,CIAS_14,CIAS_15,CIAS_16,CIAS_17,CIAS_18,CIAS_19,CIAS_20,CIAS_21,CIAS_22,CIAS_23,CIAS_24,CIAS_25,CIAS_26
1,0,86,13,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1
2,0,85,14,3,4,4,4,4,4,1,1,1,4,4,1,1,1,1,4,4,4,1,4,1,4,1,1,1,1
3,1,86,13,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,4
4,0,86,13,1,4,2,4,4,4,1,1,1,2,3,2,1,1,1,4,2,2,2,4,2,3,1,1,1,1
5,1,86,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,86,13,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,86,13,4,3,3,3,3,4,2,2,3,2,2,1,1,2,3,3,2,1,3,2,2,3,2,2,3,2
8,0,85,14,4,1,2,1,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,4,2,2,2,2,3,2
9,0,86,13,3,4,2,4,4,3,3,4,2,4,4,1,1,1,3,3,4,4,3,3,3,4,3,2,4,1
10,0,85,14,4,3,2,2,3,4,2,3,2,2,3,2,2,3,3,3,2,3,3,2,2,3,2,2,3,4
11,1,86,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
12,0,86,13,1,3,1,,3,3,1,1,1,1,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1
13,0,86,13,4,3,3,4,2,2,2,1,1,1,1,1,1,2,4,2,2,1,1,1,4,1,1,1,1,1
14,0,86,13,3,2,2,3,1,3,1,1,2,2,1,1,1,1,3,2,1,2,3,1,3,2,1,1,1,1
15,0,86,13,4,3,3,2,3,4,3,2,2,3,2,2,2,2,3,3,2,2,2,3,1,3,2,2,3,2
16,1,85,14,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
17,1,85,14,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1
18,1,86,13,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,1,2,4,1,1,2,2,1,1,1,1
